Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  T         90.00 Comment        
R5         R0805             7331.008mil    518.866mil   7331.008mil    518.866mil   7294.591mil    518.866mil  T          0.00 2.7K           
R4         R0805             7331.008mil    593.866mil   7331.008mil    593.866mil   7294.591mil    593.866mil  T          0.00 4.7K           
R3         R0805             7547.465mil    506.366mil   7547.465mil    506.366mil   7547.465mil    469.949mil  T         90.00 470            
R2         R0805             7205.465mil    518.866mil   7205.465mil    518.866mil   7169.047mil    518.866mil  T        360.00 2.7K           
R1         R0805             7205.465mil    593.866mil   7205.465mil    593.866mil   7169.047mil    593.866mil  T        360.00 4.7K           
J1         644456-2          6743.608mil    901.864mil   6762.221mil    871.327mil   6768.608mil    858.562mil  T        120.00 644456-2       
C2         C0603             7723.953mil   1587.937mil   7723.953mil   1587.937mil   7697.181mil   1587.937mil  T        360.00 100nF          
C6         C0603             7723.953mil   1651.937mil   7723.953mil   1651.937mil   7697.181mil   1651.937mil  T        360.00 100nF          
Q1         SOT23-3           7383.764mil   1763.681mil   7383.465mil   1761.366mil   7346.063mil   1721.996mil  T        360.00 BSN20BKR       
Q2         SOT23-3           7372.638mil   1498.236mil   7374.953mil   1497.937mil   7414.323mil   1460.535mil  T         90.00 BSN20BKR       
